[2024-02-15 05:23:04] [31merror[39m:	User with this email already exist, Please login to proceed
[2024-02-15 05:26:09] [31merror[39m:User with this email already exist, Please login to proceed
[2024-02-15 17:28:05] [31merror[39m:User with this email already exist, Please login to proceed
[2024-02-15 17:31:31] [31merror[39m:User with this email already exist, Please login to proceed
[2024-02-15 17:35:06] error:User with this email already exist, Please login to proceed
[2024-02-15 17:36:22] [31merror[39m:User with this email already exist, Please login to proceed
2024-02-15 17:38:05 error: User with this email already exist, Please login to proceed
2024-02-15 17:40:05 error: User with this email already exist, Please login to proceed
2024-02-15 17:47:16 [31merror[39m: User with this email already exist, Please login to proceed
2024-02-15 17:50:32 [31merror[39m: User with this email already exist, Please login to proceed
2024-02-15 17:52:26 [31merror[39m: User with this email already exist, Please login to proceed
2024-02-15 17:53:35 error: User with this email already exist, Please login to proceed
2024-02-15 17:53:55 error: User with this email already exist, Please login to proceed
2024-02-15 17:54:01 error: User with this email already exist, Please login to proceed
undefined
[2024-02-15 18:04:05] error:User with this email already exist, Please login to proceed
[2024-02-15 18:05:44] error:User with this email already exist, Please login to proceed
[2024-02-15 18:06:42] error:User with this email already exist, Please login to proceed
[2024-02-15 18:07:15] error:User with this email already exist, Please login to proceed
undefined
2024-02-15 18:11:01 error: User with this email already exist, Please login to proceed
2024-02-15 18:25:31 error: User with this email already exist, Please login to proceed
